timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5
0.264 0.04480457142857144 0.03982628571428572 0.034848000000000004 0.029869714285714288 -0.024891428571428575 0.0004978285714285715 0.33942857142857147 0.3017142857142857 0.264 0.22628571428571428 -0.18857142857142858 0.003771428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.272 0.047561142857142864 0.042276571428571434 0.036992000000000004 0.031707428571428574 -0.026422857142857147 0.000528457142857143 0.34971428571428576 0.3108571428571429 0.272 0.23314285714285715 -0.1942857142857143 0.003885714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.28 0.050400000000000014 0.044800000000000006 0.039200000000000006 0.033600000000000005 -0.028000000000000004 0.0005600000000000002 0.36000000000000004 0.32 0.28 0.24000000000000002 -0.2 0.004000000000000001 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.288 0.05332114285714287 0.047396571428571434 0.04147200000000001 0.03554742857142858 -0.02962285714285715 0.000592457142857143 0.37028571428571433 0.3291428571428572 0.28800000000000003 0.24685714285714289 -0.20571428571428574 0.004114285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.296 0.056324571428571425 0.0500662857142857 0.04380799999999999 0.03754971428571428 -0.03129142857142857 0.0006258285714285714 0.38057142857142856 0.33828571428571425 0.296 0.25371428571428567 -0.2114285714285714 0.004228571428571429 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.304 0.059410285714285714 0.05280914285714285 0.046208 0.03960685714285714 -0.033005714285714284 0.0006601142857142857 0.3908571428571429 0.3474285714285714 0.304 0.26057142857142856 -0.21714285714285714 0.004342857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.312 0.06257828571428573 0.05562514285714285 0.048672 0.04171885714285714 -0.03476571428571429 0.0006953142857142858 0.4011428571428572 0.35657142857142854 0.312 0.2674285714285714 -0.22285714285714286 0.0044571428571428574 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.32 0.06582857142857143 0.05851428571428571 0.0512 0.043885714285714285 -0.036571428571428574 0.0007314285714285716 0.4114285714285715 0.3657142857142857 0.32 0.2742857142857143 -0.2285714285714286 0.004571428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.328 0.06916114285714287 0.061476571428571436 0.053792000000000006 0.04610742857142858 -0.03842285714285715 0.0007684571428571431 0.42171428571428576 0.37485714285714283 0.328 0.28114285714285714 -0.2342857142857143 0.004685714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.336 0.07257600000000002 0.064512 0.056448000000000005 0.048384 -0.04032 0.0008064000000000002 0.43200000000000005 0.384 0.336 0.288 -0.24000000000000002 0.0048000000000000004 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
