timestamp target_q_0 target_qd_0 target_qdd_0
0.488 -1.4040955267948965 0.6831999999999999 1.4 
0.496 -1.3985851267948965 0.6943999999999999 1.4 
0.504 -1.3929851267948965 0.7056 1.4 
0.512 -1.3872955267948965 0.7168 1.4 
0.52 -1.3815163267948964 0.728 1.4 
0.528 -1.3756475267948964 0.7392 1.4 
0.536 -1.3696891267948965 0.7504 1.4 
0.544 -1.3636411267948965 0.7616 1.4 
0.552 -1.3575035267948965 0.7728 1.4 
0.56 -1.3512763267948966 0.784 1.4 
0.568 -1.3449595267948966 0.7952 1.4 
0.576 -1.3385531267948965 0.8064 1.4 
0.584 -1.3320571267948966 0.8175999999999999 1.4 
0.592 -1.3254715267948967 0.8287999999999999 1.4 
0.6 -1.3187963267948966 0.84 1.4 
0.608 -1.3120315267948965 0.8512 1.4 
0.616 -1.3051771267948966 0.8623999999999999 1.4 
0.624 -1.2982331267948966 0.8735999999999999 1.4 
0.632 -1.2911995267948966 0.8847999999999999 1.4 
0.64 -1.2840763267948967 0.8959999999999999 1.4 
0.648 -1.2768635267948967 0.9072 1.4 
0.656 -1.2695611267948965 0.9184 1.4 
0.664 -1.2621691267948965 0.9296 1.4 
0.672 -1.2546875267948965 0.9408 1.4 
0.68 -1.2471163267948966 0.952 1.4 
0.688 -1.2394555267948966 0.9632000000000001 1.4 
0.696 -1.2317051267948966 0.9744 1.4 
0.704 -1.2238651267948966 0.9855999999999999 1.4 
0.712 -1.2159355267948966 0.9967999999999999 1.4 
0.72 -1.2079163267948965 1.008 1.4 
0.728 -1.1998075267948964 1.0191999999999999 1.4 
0.736 -1.1916091267948965 1.0304 1.4 
0.744 -1.1833211267948966 1.0415999999999999 1.4 
0.7508571 -1.176190612509182 1.04 0.0 
0.75885713 -1.1678706125091822 1.04 0.0 
0.76685715 -1.1595506125091821 1.04 0.0 
0.77485716 -1.1512306125091822 1.04 0.0 
0.7828571 -1.1429106125091821 1.04 0.0 
0.79085714 -1.1345906125091823 1.04 0.0 
0.79885715 -1.1262706125091821 1.04 0.0 
0.80685717 -1.117950612509182 1.04 0.0 
0.8148571 -1.1096306125091822 1.04 0.0 
0.82285714 -1.101310612509182 1.04 0.0 
0.83085716 -1.0929906125091822 1.04 0.0 
0.8388571 -1.084670612509182 1.04 0.0 
0.84685713 -1.0763506125091822 1.04 0.0 
0.85485715 -1.068030612509182 1.04 0.0 
0.86285716 -1.0597106125091822 1.04 0.0 
0.8708571 -1.051390612509182 1.04 0.0 
0.87885714 -1.0430706125091822 1.04 0.0 
0.88685715 -1.034750612509182 1.04 0.0 
0.89485717 -1.026430612509182 1.04 0.0 
0.9028571 -1.0181106125091821 1.04 0.0 
0.91085714 -1.009790612509182 1.04 0.0 
0.91885716 -1.0014706125091821 1.04 0.0 
0.9268571 -0.993150612509182 1.04 0.0 
0.93485713 -0.984830612509182 1.04 0.0 
0.94285715 -0.976510612509182 1.04 0.0 
0.95085716 -0.968190612509182 1.04 0.0 
0.9588571 -0.959870612509182 1.04 0.0 
0.96685714 -0.9515506125091819 1.04 0.0 
0.97485715 -0.943230612509182 1.04 0.0 
0.98285717 -0.934910612509182 1.04 0.0 
0.9908571 -0.926590612509182 1.04 0.0 
0.99885714 -0.918270612509182 1.04 0.0 
1.0068572 -0.909950612509182 1.04 0.0 
1.0148572 -0.901630612509182 1.04 0.0 
1.0228572 -0.8933106125091819 1.04 0.0 
1.0308571 -0.884990612509182 1.04 0.0 
1.0388571 -0.8766706125091819 1.04 0.0 
1.0468571 -0.868350612509182 1.04 0.0 
1.0548571 -0.8600306125091819 1.04 0.0 
1.0628572 -0.8517106125091819 1.04 0.0 
1.0708572 -0.8433906125091819 1.04 0.0 
1.0788572 -0.8350706125091819 1.04 0.0 
1.0868572 -0.8267506125091819 1.04 0.0 
1.0948571 -0.8184306125091818 1.04 0.0 
1.1028571 -0.8101106125091819 1.04 0.0 
1.1108571 -0.8017906125091818 1.04 0.0 
1.1188571 -0.7934706125091818 1.04 0.0 
1.1268572 -0.7851506125091818 1.04 0.0 
1.1348572 -0.7768306125091818 1.04 0.0 
1.1428572 -0.7685106125091818 1.04 0.0 
1.1508571 -0.7601906125091817 1.04 0.0 
1.1588571 -0.7518706125091819 1.04 0.0 
1.1668571 -0.7435506125091818 1.04 0.0 
1.1748571 -0.7352306125091819 1.04 0.0 
1.1828572 -0.7269106125091818 1.04 0.0 
1.1908572 -0.7185906125091818 1.04 0.0 
